"Code","Venue"
"CYC","Charlottetown Yacht Club"
"CP","Cineplex"
"FO","The Foundry"
"HC","Holman Centre, Summerside"
"LEG","PEI Royal Legion"
"MCC","Murphy's Community Centre"
"OH","Open Hub, Summerside"
"PEIITA","PEI IT Alliance"
"QSC","Queen Street Commons"
"SC","Samuel's Coffee, Summerside"
"SZ","Startup Zone"
"V","online/Virtual conf call"
