"Date","# (Est.)","# (Actual)","Venue","Speaker 1"," Topic 1","Speaker 2"," Topic 2","Sponsors","A/V Support"
"NOV 2015","10","","Murphy's","Michael Easter","PEI Landmarks data set","Q&A","","Michael Easter","ScreenScape Networks"
"OCT 2015","12","","Murphy's","Michael Easter","Update","Open Forum","","Michael Easter","ScreenScape Networks"
"SEP 2015","29","","CYC","Peter Rukavina","Open Data","Open Forum","","Binary Star,Michael Easter","ScreenScape Networks"
